day,month,year,class_name,location,time_of_day,duration
5,October,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
4,October,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
25,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
25,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
23,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
23,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
21,September,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
18,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
18,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
16,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
16,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
11,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
11,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
7,September,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
5,September,2024,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
4,September,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
4,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
4,September,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
29,August,2024,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
26,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
26,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
21,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",8:00pm,30
21,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
21,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
21,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
21,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
19,August,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
19,August,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
17,August,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
